names on page 1,links on page 1,descriptions on page 1
"
Ноутбук Sony Vaio VPC-YB2L1R AMD Fusion E-350 2GB DDR3 320GB HDD серебристый
",https://www.kivano.kg/product/view/noutbuk-sony-vaio-vpc-yb2l1r-amd-fusion-e-350-2gb-ddr3-320gb-hdd-serebristyy,"        
"
"
Ноутбук Lenovo Ideapad 3 Intel Pentium 6405U 4GB DDR4 128GB SSD W10 черный
",https://www.kivano.kg/product/view/noutbuk-sony-vaio-vpc-yb2l1r-amd-fusion-e-350-2gb-ddr3-320gb-hdd-serebristyy,"        Операционная система Windows 10; 2х-ядерный процессор 2.4 ГГц; видеоадаптер встроенный; диагональ экрана 14"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; вес от 1.85 кг            "
"
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 128GB SSD DOS Platinum Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-intel-pentium-6405u-4gb-ddr4-128gb-ssd-w10-chernyy,"        Операционная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 128 Гб; DVDRW нет; вес от 1.7 кг            "
"
Ноутбук Lenovo Ideapad 3 15IGL05 Intel Celeron N4120 4GB DDR4 480GB SSD DOS Platinum Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-intel-pentium-6405u-4gb-ddr4-128gb-ssd-w10-chernyy,"        Операционная система DOS; 4х-ядерный процессор 1.1 ГГц; видеоадаптер встроенный; диагональ экрана 15.6"" TN 1366x768; объем оперативной памяти 4 Гб; накопитель SSD 480 Гб; DVDRW нет; вес от 1.7 кг            "
"
Ноутбук Dell Vostro 3500 Intel Core i3-1115G4 4GB DDR4 1000GB HDD DOS Urban Grey
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-128gb-ssd-dos-platinum-grey,"        Операционная система DOS; 2х-ядерный процессор 3.0 ГГц; диагональ экрана 15.6"" TN 1366x768; видеоадаптер встроенный; объем оперативной памяти 4 Гб; накопитель HDD 1000 Гб; DVDRW нет; вес от 1.78 кг            "
"
Ноутбук MSI GF63 Thin 9SCSR-898XRU Intel Core i5-9300H 8GB DDR4 1000GB HDD Nvidia GTX 1650Ti 4GB FHD DOS черный
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-128gb-ssd-dos-platinum-grey,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i5-9300H; Разрешение экрана: 1920x1080 Full HD; Графический контроллер: Nvidia GTX 1650Ti; Объем оперативной памяти: 8 Gb DDR4; Объем накопителя HDD: 1000 Gb; Вес: от 1.86 кг            
"
Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 HD DOS красный
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-480gb-ssd-dos-platinum-grey,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя HDD: 1000 Gb; Вес: от 1.85 кг            
"
Ноутбук Lenovo Ideapad 3-15IIL05 Intel Core i3-1005G1 4GB DDR 240GB SSD Intel HD Graphics 620 HD DOS красный
",https://www.kivano.kg/product/view/noutbuk-lenovo-ideapad-3-15igl05-intel-celeron-n4120-4gb-ddr4-480gb-ssd-dos-platinum-grey,        Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-1005G1; Разрешение экрана: 1366x768 HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 Gb DDR; Объем накопителя SSD: 240 Gb; Вес: от 1.85 кг            
"
Ноутбук Asus FX505DT AMD Ryzen 7-3750H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black
",https://www.kivano.kg/product/view/noutbuk-dell-vostro-3500-intel-core-i3-1115g4-4gb-ddr4-1000gb-hdd-dos-urban-grey,"        Операционная система Windows 10; 4х-ядерный процессор 2.3 ГГц; видеоадаптер дискретный; экран 15.6"" IPS 1920x1080; объем оперативной памяти 8 Гб; накопитель SSD 256 Гб; вес от 2.2 кг            "
"
Ноутбук Lenovo IdeaPad L340-15API AMD Ryzen 5 3500U 8GB DDR 1000GB HDD Radeon Vega 8 Graphics HD DOS серый
",https://www.kivano.kg/product/view/noutbuk-dell-vostro-3500-intel-core-i3-1115g4-4gb-ddr4-1000gb-hdd-dos-urban-grey,        Тип: ноутбук; Операционная система: DOS; Процессор: AMD Ryzen 5-3500U; Разрешение экрана: 1366x768 HD; Графический контроллер: Radeon Vega 8 Graphics; Объем оперативной памяти: 8 Gb DDR;Объем накопителя HDD: 1000 Gb; Вес: от 2.2 кг            
